SEED,SUBJID,Sequence,DATE,SIGN,round,Notes
6205,35,002_SP -> 002_PP -> 003,08-Nov-19,Sreyasi,1,
6205,36,003 -> 002_SP -> 002_PP,08-Nov-19,Sreyasi,1,
6205,37,003 -> 002_SP -> 002_PP,08-Nov-19,Sreyasi,1,
6205,38,003 -> 002_SP -> 002_PP,08-Nov-19,Sreyasi,1,
6205,39,003 -> 002_SP -> 002_PP,12-Nov-19,Sreyasi,1,
6205,40,003 -> 002_SP -> 002_PP,12-Nov-19,Sreyasi,1,
6205,41,003 -> 002_SP -> 002_PP,12-Nov-19,Sreyasi,1,
6205,42,003 -> 002_SP -> 002_PP,12-Nov-19,Sreyasi,1,
6205,43,002_SP -> 002_PP -> 003,12-Nov-19,Sreyasi,1,
6205,44,002_SP -> 002_PP -> 003,12-Nov-19,Sreyasi,1,
6205,45,003 -> 002_SP -> 002_PP,14-Nov-19,Ryan,1,
6205,46,002_SP -> 002_PP -> 003,14-Nov-19,Ryan,1,
6205,47,003 -> 002_SP -> 002_PP,14-Nov-19,Ryan,1,
6205,48,002_SP -> 002_PP -> 003,14-Nov-19,Ryan,1,
6205,49,003 -> 002_SP -> 002_PP,15-Nov-19,Sreyasi,1,
6205,50,002_SP -> 002_PP -> 003,15-Nov-19,Sreyasi,1,
6205,51,002_SP -> 002_PP -> 003,15-Nov-19,Sreyasi,2,
6205,52,003 -> 002_SP -> 002_PP,19-Nov-19,Sreyasi,2,
6205,53,002_SP -> 002_PP -> 003,19-Nov-19,Sreyasi,2,
6205,54,002_SP -> 002_PP -> 003,20-Nov-19,Sreyasi,2,
6205,55,003 -> 002_SP -> 002_PP,20-Nov-19,Sreyasi,2,Participant couldn't finish the study due to a prior commitment
6205,56,002_SP -> 002_PP -> 003,20-Nov-19,Sreyasi,2,
6205,57,003 -> 002_SP -> 002_PP,21-Nov-19,Ryan,2,
6205,58,002_SP -> 002_PP -> 003,21-Nov-19,Ryan,2,
6205,59,003 -> 002_SP -> 002_PP,21-Nov-19,Ryan,2,
6205,60,003 -> 002_SP -> 002_PP,21-Nov-19,Ryan,2,
6205,61,002_SP -> 002_PP -> 003,21-Nov-19,Ryan,2,
6205,62,002_SP -> 002_PP -> 003,26-Nov-19,Sreyasi,2,
6205,63,002_SP -> 002_PP -> 003,27-Nov-19,Sreyasi,2,
6205,64,003 -> 002_SP -> 002_PP,27-Nov-19,Sreyasi,2,
6205,65,002_SP -> 002_PP -> 003,27-Nov-19,Sreyasi,2,
6205,66,003 -> 002_SP -> 002_PP,27-Nov-19,Sreyasi,2,
6205,67,002_SP -> 002_PP -> 003,04-Dec-19,Sreyasi,2,
6205,68,002_SP -> 002_PP -> 003,04-Dec-19,Sreyasi,2,
6205,69,003 -> 002_SP -> 002_PP,04-Dec-19,Sreyasi,2,
6205,70,002_SP -> 002_PP -> 003,04-Dec-19,Sreyasi,2,Completed Task A in Chinese
6205,71,003 -> 002_SP -> 002_PP,04-Dec-19,Sreyasi,2,
6205,72,003 -> 002_SP -> 002_PP,04-Dec-19,Sreyasi,2,
6205,73,003 -> 002_SP -> 002_PP,04-Dec-19,Sreyasi,2,
6205,74,002_SP -> 002_PP -> 003,04-Dec-19,Sreyasi,2,
6205,75,002_SP -> 002_PP -> 003,04-Dec-19,Sreyasi,2,
6205,76,002_SP -> 002_PP -> 003,04-Dec-19,Sreyasi,2,
6205,77,002_SP -> 002_PP -> 003,04-Dec-19,Sreyasi,2,
6205,78,002_SP -> 002_PP -> 003,04-Dec-19,Sreyasi,2,
6205,79,002_SP -> 002_PP -> 003,04-Dec-19,Sreyasi,2,
6205,80,002_SP -> 002_PP -> 003,04-Dec-19,Sreyasi,2,
6205,81,002_SP -> 002_PP -> 003,04-Dec-19,Sreyasi,2,
6205,82,002_SP -> 002_PP -> 003,04-Dec-19,Sreyasi,2,
6205,83,002_SP -> 002_PP -> 003,04-Dec-19,Sreyasi,2,
6205,84,002_SP -> 002_PP -> 003,04-Dec-19,Sreyasi,2,Completed Task A in Chinese
6205,85,002_SP -> 002_PP -> 003,04-Dec-19,Sreyasi,2,
6205,86,003 -> 002_SP -> 002_PP,05-Dec-19,Ryan,2,Completed Task B very quickly
6205,87,003 -> 002_SP -> 002_PP,05-Dec-19,Ryan,2,
6205,88,003 -> 002_SP -> 002_PP,05-Dec-19,Ryan,2,
6205,89,003 -> 002_SP -> 002_PP,05-Dec-19,Ryan,2,
6205,90,003 -> 002_SP -> 002_PP,05-Dec-19,Ryan,2,
6205,91,002_SP -> 002_PP -> 003,"Dec 5,2019",Ryan,2,
6205,92,002_SP -> 002_PP -> 003,"Dec 5,2019",Ryan,2,
6205,93,003 -> 002_SP -> 002_PP,05-Dec-19,Ryan,2,
6205,94,002_SP -> 002_PP -> 003,05-Dec-19,Ryan,2,
6205,95,002_SP -> 002_PP -> 003,05-Dec-19,Ryan,2,
6205,96,003 -> 002_SP -> 002_PP,05-Dec-19,Ryan,2,
6205,97,003 -> 002_SP -> 002_PP,05-Dec-19,Ryan,2,
6205,98,002_SP -> 002_PP -> 003,05-Dec-19,Ryan,2,
6205,99,003 -> 002_SP -> 002_PP,,,2,
6205,100,002_SP -> 002_PP -> 003,15-Nov-19,Sreyasi,2,Switch ID for matching
